Job Title,Company,Location,Job Link
Hardware Emulation EngineerHardware Emulation Engineer,Acceler8 Talent,San Francisco Bay Area (Hybrid),https://linkedin.com/jobs/view/3973727706/
Electrical Test TechnicianElectrical Test Technician with verification,Belcan,"Berkeley, CA (On-site)",https://linkedin.com/jobs/view/3977602556/
PIC Manufacturing Test TechnicianPIC Manufacturing Test Technician with verification,Infinera,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3146893614/
ZeBu EP Emulation Applications Engineer- SoC DebugZeBu EP Emulation Applications Engineer- SoC Debug with verification,Synopsys Inc,"Mountain View, CA",https://linkedin.com/jobs/view/3977407595/
"Staff Engineer, AI HW/SW CodesignStaff Engineer, AI HW/SW Codesign with verification",Samsung Semiconductor,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3986152314/
Electromagnetic Effects (EME) Test Technician - Powertrain & Electronics TestElectromagnetic Effects (EME) Test Technician - Powertrain & Electronics Test with verification,Joby Aviation,"San Carlos, CA (On-site)",https://linkedin.com/jobs/view/3851084926/
"Lead Verification Engineer- Sunnyvale/San Jose, CALead Verification Engineer- Sunnyvale/San Jose, CA with verification",Elekta,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3972588990/
Custom SOC IP Verification EngineerCustom SOC IP Verification Engineer with verification,NVIDIA,"Santa Clara, CA",https://linkedin.com/jobs/view/3982657470/
Verification EngineerVerification Engineer with verification,Broadcom,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3983340618/
Hearing Test TechnicianHearing Test Technician,Aloha Staffing,"Stockton, CA (On-site)",https://linkedin.com/jobs/view/3971847820/
Radio Frequency Test EngineerRadio Frequency Test Engineer with verification,Teledyne Microwave Solutions (TMS),"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3969558797/
RF TEST ENGINEER with Security ClearanceRF TEST ENGINEER with Security Clearance,ClearanceJobs,"Point Reyes Station, CA (On-site)",https://linkedin.com/jobs/view/3996314793/
Remote AP Physics 1 TutorRemote AP Physics 1 Tutor with verification,"Varsity Tutors, a Nerdy Company",United States (Remote),https://linkedin.com/jobs/view/3990653616/
Staff RF Test EngineerStaff RF Test Engineer with verification,E-Space,"Saratoga, CA (On-site)",https://linkedin.com/jobs/view/3948107653/
Principal Verification EngineerPrincipal Verification Engineer,Rambus,"San Jose, CA (Hybrid)",https://linkedin.com/jobs/view/3982506292/
"Hearing Test Technician (CNA/LVN/MA) - Stockton, CAHearing Test Technician (CNA/LVN/MA) - Stockton, CA",Aloha Staffing,"Stockton, CA (On-site)",https://linkedin.com/jobs/view/3971852412/
Senior DFT Engineer - All levelsSenior DFT Engineer - All levels with verification,Oho Group Ltd,"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3840161405/
"Hearing Test Technician (CNA/LVN/MA) - Vacaville, CAHearing Test Technician (CNA/LVN/MA) - Vacaville, CA",Aloha Staffing,"Vacaville, CA (On-site)",https://linkedin.com/jobs/view/3972588335/
Inertial Confinement Fusion PhysicistInertial Confinement Fusion Physicist with verification,Lawrence Livermore National Laboratory,"Livermore, CA (Remote)",https://linkedin.com/jobs/view/3985079692/
"Hearing Test Technician (CNA/LVN/MA) - Tracy, CAHearing Test Technician (CNA/LVN/MA) - Tracy, CA",Aloha Staffing,"Tracy, CA (On-site)",https://linkedin.com/jobs/view/3975495544/
Staff High-Speed Design Validation EngineerStaff High-Speed Design Validation Engineer with verification,"Monolithic Power Systems, Inc.","San Jose, CA (On-site)",https://linkedin.com/jobs/view/3957430783/
"Hearing Test Technician (CNA/LVN/MA) - Tracy, CAHearing Test Technician (CNA/LVN/MA) - Tracy, CA",Aloha Staffing,"Tracy, CA (On-site)",https://linkedin.com/jobs/view/3975493742/
Optical Subassembly lead engineer for high speed transceiversOptical Subassembly lead engineer for high speed transceivers with verification,Coherent Corp.,"Fremont, CA (Hybrid)",https://linkedin.com/jobs/view/3863227059/
Electrical EngineerElectrical Engineer,"The Mice Groups, Inc.","Fremont, CA (On-site)",https://linkedin.com/jobs/view/3945055234/
Optical Subassembly Lead Engineer for High Speed TransceiversOptical Subassembly Lead Engineer for High Speed Transceivers with verification,Coherent Corp.,"Fremont, CA (Hybrid)",https://linkedin.com/jobs/view/3945643956/
Senior Principal Laser EngineerSenior Principal Laser Engineer with verification,MKS Instruments,"Milpitas, CA (On-site)",https://linkedin.com/jobs/view/3947445772/
Staff Electrical EngineerStaff Electrical Engineer with verification,Cepheid,"Sunnyvale, CA",https://linkedin.com/jobs/view/3966733690/
Product Development Engineer (Eng Mgmt / PLC Lead)(E)Product Development Engineer (Eng Mgmt / PLC Lead)(E) with verification,KLA,"Milpitas, CA",https://linkedin.com/jobs/view/3686577303/
"Hearing Test Technician  (CNA/LVN/MA) - Stockton, CAHearing Test Technician  (CNA/LVN/MA) - Stockton, CA",Aloha Staffing,"Stockton, CA (On-site)",https://linkedin.com/jobs/view/3971850531/
Senior Electron Optics EngineerSenior Electron Optics Engineer with verification,ASML,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3964432381/
"Hearing Test Technician (CNA/LVN/MA) - Vacaville, CAHearing Test Technician (CNA/LVN/MA) - Vacaville, CA",Aloha Staffing,"Vacaville, CA (On-site)",https://linkedin.com/jobs/view/3972587458/
"Hearing Test Technician (CNA/LVN/MA) - Tracy, CAHearing Test Technician (CNA/LVN/MA) - Tracy, CA",Aloha Staffing,"Tracy, CA (On-site)",https://linkedin.com/jobs/view/3975493743/
Product Development Engineer (E)Product Development Engineer (E) with verification,KLA,"Milpitas, CA",https://linkedin.com/jobs/view/3679532697/
Lead Engine Test TechnicianLead Engine Test Technician with verification,CyberCoders,"Stockton, CA (On-site)",https://linkedin.com/jobs/view/3990916719/
Sr. Thermal EngineerSr. Thermal Engineer with verification,Supermicro,"San Jose, CA",https://linkedin.com/jobs/view/3959957244/
"Hearing Test Technician (CNA/LVN/MA) - Vacaville, CAHearing Test Technician (CNA/LVN/MA) - Vacaville, CA",Aloha Staffing,"Vacaville, CA (On-site)",https://linkedin.com/jobs/view/3972588336/
Propulsion EngineerPropulsion Engineer,U.S. Air Force Reserve,San Francisco Bay Area (On-site),https://linkedin.com/jobs/view/3978773974/
"Hearing Test Technician (CNA/LVN/MA) - San Rafael, CAHearing Test Technician (CNA/LVN/MA) - San Rafael, CA",Aloha Staffing,"San Rafael, CA (On-site)",https://linkedin.com/jobs/view/3971849593/
